序号	价格	名称	详情
1	31000	DRESS WITH BUTTON-DOWN COLLAR	Navy Blue Wool and Silk
2	42000	DIORAURA LONG DRESS		Multicolor Silk
3	39800	CROPPED SKIRT			Black Wool and Silk
4	12900	JACKET				Black Washed Denim
5	52000	BOMBER JACKET			Green and Black Camouflage Technical Cotton
6	37400	BAR JACKET			Blue Denim
7	24900	DIORAURA ROMPER			Multicolor Tie & Dior Cotton
8	8400	PANTS				Blue Tie & Dior Wax Cotton with Laces
9	7700	LARGE JEANS			Blue Denim
10	11200	BLOUSE				Black Fishnet with Floral Pattern
11	14500	饰织带针织羊毛混纺开衫		经典针织服饰融入精致细节和品牌标志性元素后焕发新的活力。这款开衫采用深蓝色针织羊毛混纺材质，口袋上别具匠心地融入经典红绿织带细节，亮金色调双G标识彰显高雅不俗的时尚品味。
12	 4900	石磨漂白常规版型牛仔裤		这款牛仔裤采用经特殊石磨漂白处理的出众材质，呈现出大理石纹做旧效果，搭配经典五袋设计和直筒版型。最新系列在牛仔布这一备受追捧的经典材质上大放异彩，运用多种不同造型和处理工艺为其注入全新活力。
13	13400	石磨水洗牛仔夹克			在最新系列中，Gucci在牛仔布这一备受追捧的经典材质上大放异彩，运用多种不同造型和处理工艺为其注入全新活力。这款夹克由深蓝色牛仔布制作而成，采用方形剪裁，七分袖为其增添别样韵味。该设计从星座世界中汲取灵感，金色金属纽扣巧妙融入让人联想到半人马座的细节元素。
14	12600	Gucci Off The Grid系列兜帽		2020早秋推出全新的配饰和成衣系列，采用可回收利用的材料和辅料制作，以此践行品牌对可持续性发展的一贯承诺。Gucci Off The Grid系列是Gucci Circular Lines的首个系列，该产品线的设计初衷是支持品牌大力发展循环生产的企业愿景。秉持环保这一设计理念，Gucci Off The Grid系列充分运用各种可回收利用和可持续采购的有机生物基材料。再生尼龙由可回收利用的缝纫线和辅料制成，依托亮橘色不透明背景突显品牌独具一格的GG图案元素。
15	13900	饰Gucci字样人造丝棉混纺夹克		风靡设计融合全新的紧身造型和流线型美学理念，透过Gucci别致的美学视角焕发新的活力。这款飞行员夹克采用绿色日晒效果棉人造丝硬缎混纺材质，搭配短款紧身廓形，贯穿整个衣身的超大条纹缔造点睛之笔。对比色Gucci字样刺绣充满复古气息，演绎老式广告的经典魅力。
16	7500	针织棉短裤			这款短裤两侧饰有互扣式双G条纹，这一别致装饰贯穿于Gucci最新系列。侧边饰带为Gucci经典标识融入运动活力，唤起人们对于复古运动装常见品牌标识饰带的回忆。
17	17600	饰Gucci标签羊毛夹克			缝制夹克运用革新的美学理念进行重新演绎，在经典设计中注入现代精髓，成为融合精致面料和热门休闲材质的混搭造型的主打单品。这款夹克采用传统设计，由蓝色棉布制作而成，可与配套的背心和牛仔裤演绎出众造型，颠覆传统剪裁风格。
18	18500	饰Gucci标签补丁效果牛仔夹克		2020春夏系列深入探索了牛仔布这一经典材质，运用多种不同造型和处理赋予该面料新的活力。这款牛仔夹克使用多种工艺进行特殊水洗处理后，呈现出做旧补丁效果，尽显复古风情。胸口处巧妙融入法语格言“Gucci quelle qu’en soit la saison”刺绣标签。该格言的意思是“Gucci服饰四季皆宜”，充分诠释了Gucci服饰可自由穿搭的设计理念。
19	8300	刺绣绳绒卫衣			这款黑色绳绒卫衣采用已经成为品牌标志的浪漫箴言，正面饰有 Gucci、“Maison de l'Amour”和“Sine Amore Nihil”刺绣，短袖设计，装饰同色醋酸纤维饰边。灵感源自运动装和休闲装的风格元素相互交织，以精致柔软的面料呈现动感造型，演绎 Gucci 经典风格。

